id,ulasan,tanggal
1,aplikasi yg sangat bermanfaat utk urusan kelistrikan kita.,2025-09-26
2,sangat membantu proses pengaduan,2025-09-26
3,Lebih mudah dan cepat tanggap,2025-09-26
4,hadirnya aplikasi ini sangat guna ketika ada gangguan listrik di rumah...,2025-09-26
5,laporan langsung ke pln pakai pln mobile..mudah dan cepat ditangani..puas,2025-09-26
6,sangat membantu pelanggan,2025-09-26
7,mudah dan terpercaya,2025-09-26
8,semenjak ad aplikasi PLN mobile saya sngat mudah untuk melakukan gangguwan listrik saya & juga melakukan pembayaran token listrik semoga kdpanx semakin sukses,2025-09-26
9,pln terbaik dengan aplikasi PLN mobile mantap,2025-09-26
10,tingkatkan pelayanan di ulp,2025-09-26
11,ok sangat membantu pelangan pln..,2025-09-26
12,pln mobile terbaik... lapor gangguan listrik sangat di tangangi sama petugas dan petugasnya rama dan baik,2025-09-26
13,Lebih mudah untuk segala urusan listrik,2025-09-26
14,aplikasi baik dan bagus,2025-09-26
15,masalah troblem pada kwh lapor di pln mobile langsung di respon dan segera di tindaklanjuti🫶🫶🫶,2025-09-26
16,bagai mana caranya top up saldo?,2025-09-26
17,sangat terbantu dengan adanya aplikasi ini sehingga pada saat terjadi pemadaman listrik tinggal lapor melalui aplikasi ini .,2025-09-26
18,PLN MOBILE SANGAT MEMBANTU KAMI PARA PELANGGAN,2025-09-26
19,laporan kerusakan listrik di pln mobile saja,2025-09-26
20,PLN Mobile sangat berguna bagi masyarakat dan mudah di gunakan,2025-09-26
21,baik dan memuaskan,2025-09-26
22,baik saya suka sekalihh,2025-09-26
23,perubahan daya lebih mudah,2025-09-26
24,PLN mobil sangat mudah dan praktis,2025-09-26
25,tunjukan karaktermu dengan pln mobile,2025-09-26
26,semakin mudah dan semakin maju,2025-09-26
27,sangat mudah untuk akses prabayar,2025-09-26
28,Terima kasih Pln,2025-09-26
29,PLN MOBILE sangat baik untuk digunakan berkomunikasi dengang pln pusat,2025-09-26
30,Aplikasi PLN mobile ini sangat membantu pelaporan listrik dan responya juga cepat.,2025-09-26
31,PLN sangat mambantu masyarakat sehingga. kamu sebagai masyarakat sangat bertrimakasih,2025-09-26
32,trimakasih PLN semua jadi lebih mudah,2025-09-26
33,tolong stimulasi nya perbaikin biar lebih detil info,2025-09-26
34,Aplikasi ini mempermudah untuk pengaduan gangguan Listrik Dan cepat Tertangani oleh Petugas PLN TERIMA KASIH 🙏.,2025-09-26
35,Terimakasih PLN sangat di rekomendasikan kan yaa ini aplikasi..👍,2025-09-26
36,di PLN Mobile ini pelayanan nya sangat baik,2025-09-26
37,PLN sangat membantu masyarakat sehingga kami sebagai masyarakat sangat bertrimakasih,2025-09-26
38,aplikasinya sangat membatu,2025-09-26
39,Beli pulsa ngga perlu ke alfa/indomart,2025-09-26
40,aplikasinya sangat membantu,2025-09-26
41,Terimakasih sudah mengenali masyarakat,2025-09-26
42,Beli pulsa jadi mudah.,2025-09-26
43,terima kasih PLN sudah membantu,2025-09-26
44,Laporan gangguan cepat di tangani,2025-09-26
45,terimakasih PLN sudah memberikan layanan terbaik,2025-09-26
46,sangat membantu urusan kelistrikan,2025-09-26
47,Aplikasi sangat menbantu 👍👍.,2025-09-26
48,terimakasi PLN karna karna sudah membantu kami,2025-09-26
49,Terimakasih PLN Mobile sudah membantu,2025-09-26
50,terimakasih aplikasinya sangat membantu,2025-09-26
51,Terimakasih PLN Mobile sudah membantu,2025-09-26
52,terimakasih PLN karna sudah membantu kami,2025-09-26
53,PLN sangat membantu masyarakat sehingga kami sebagai masyarakat sangat berterimah kasih,2025-09-26
54,layanan yg semakin mudah dan cepat,2025-09-26
55,terimakai PLN karna sudah membantu kami,2025-09-26
56,PLN sangay membantu masyarakat sehingga. kami sebagai masyarakat sangat berterimakasih,2025-09-26
57,Terimakasi aplikasi ini sangat membantu,2025-09-26
58,Terimakasih PLN sudah membantu masyarakat,2025-09-26
59,Aplikasi pln mobile fiturnya lengkap di lengkapi market place sehingga dapat berbelanja online dari rumah. Bisa catat meter sendiri dari rumah dan swacam kompor. Lengkap dengan histori pembelian token,2025-09-26
60,memuaskan Pln Batu,2025-09-26
61,terima kasih PLN,2025-09-26
62,aplikasi sangat bagus👍,2025-09-26
63,Alhamdulillah sekarang ada plng mobile masalah listrik jadi mudah dari rumah,2025-09-26
64,cepat tanpa gangguan,2025-09-26
65,jaya jaya jaya,2025-09-26
66,pempermudah dalam membayar tagihan dan mengetahui tagihan bulan yang akan datang,2025-09-26
67,terimakasih pln mobile. aplikasi layanan gangguan listrik PLN terbaik dan terpercaya,2025-09-26
68,maaf kaa listrik dirumah sya bunyi terus.kemarin sudah cek ke petugas oln katanya dari sistem nnati bisa berenti sendiri.tpi sudah 3 hari masih bunyi terus.dan ini cukup mengganggu,2025-09-26
69,Terbaik lah pokoknya PLN Mobile....,2025-09-26
70,PLN selalu di depan,2025-09-26
71,sangat membantu dan bagus apkn,2025-09-26
72,terima kasih petugas PLN,2025-09-26
73,apk pln mobile sangat membantu dan praktis saat digunakan.,2025-09-26
74,aplikasi kelistrikan bagus sekali,2025-09-26
75,aplikasinya sangat mudah untuk listrik,2025-09-26
76,sangat bagus skli untuk di gunakan🙏🙏🙏PLN mobile semakin terus mendunia,2025-09-26
77,pelayanan ga jelas. mau pemasangan baru upload gagal gagal terus. sudah bayar jelas udah ada tulisan lunas. ga dikerjakan malah nanya udah bayar belum. kalau ga siap pakai aplikasi. manual aja. untuk aplikasi ini masih jauh.,2025-09-26
78,Aplkasi mempermudahkan segala keluhan kelistrikan laporan lbh cepat teratasi trimksh ka........,2025-09-26
79,aplikasi ini sangat membantu pelanggan dalam pelayanan proses pasang baru dan tambah daya,2025-09-26
80,pln terbaik dengan aplikasinya sangat memudahkan masalah kelistrikan,2025-09-26
81,pln semakin maju dan mudah melakukan pembayaran tagihan pasca bayar serta cepat pelayanan gangguan.,2025-09-26
82,dengan aplikasi ini kami memudahkan kami beli token,2025-09-26
83,memudahkan dan mempercepat proses kelistrikan,2025-09-26
84,pelayana baik dan cepat,2025-09-26
85,pelayanan sangat memuaskan membantu sehat selalu lancar rejeki untk mbaknya dan seluruh Team PLN WATES,2025-09-26
86,Memberi pelayanan yg Terbaik.. Terimakasih PLN Kamal Terbaik..,2025-09-26
87,mantap PLN mobile,2025-09-26
88,pln kamal semakin maju..,2025-09-26
89,Bisa bayar listrik,2025-09-26
90,sangat mempermudah. Permohonan perubahan daya cukup pakai aplikasi langsung dilayani sampai tuntas.,2025-09-26
91,PLN mobile ok,2025-09-26
92,aplikasi pln sangat bermanfaat untuk lapor gangguan listrik,2025-09-26
93,proses tambah daya lebih mudah,2025-09-26
94,mantap2 mbak satpamnya mbak novianti bantu star hingga finis,2025-09-26
95,terima kasih bpk petugas pln,2025-09-26
96,sangat simple dan membantu,2025-09-26
97,denagn aplikasi ini kami dapat melapor ganguan darii rumah,2025-09-26
98,terbaik PLN mobile,2025-09-26
99,dengan adanya aplikaai PLN mobile kami sangat membantu dari segala hal baik pembelian token pengaduan dan lain lain..Terima kasih PLN Mobile,2025-09-26
100,pln mantap terus pertahankan,2025-09-26
101,pelayanan cepat dan bagus,2025-09-26
102,aplikasi ini sangat bagus buat kami pelanggan. tambah daya dan lain lain tentang masalah listrik,2025-09-26
103,hemat pake paska bayar,2025-09-26
104,PLN Mobil sangat memuaskan dan sangat menguntungkan,2025-09-26
105,tanpa melalui calo mantap,2025-09-26
106,dengan plng mobile lebih mudah melakukan pembelian token listrik,2025-09-26
107,sangat cocok untuk segalanya,2025-09-26
108,untuk pelayanan bagus dan rama,2025-09-26
109,pelayanan nya sangat bagus,2025-09-26
110,Pln mobil tetap jaya,2025-09-26
111,aplikasi membantu dan memudahkan untuk naik daya pasang baru dan pembelian token,2025-09-26
112,pln mobile sangat membantu...,2025-09-26
113,membantu membeli pulsa listrik,2025-09-26
114,dengan adanya swacame bisa cek lebih mudah dan cepat dari rumah,2025-09-26
115,aplikasi ini membantu saya mencek tagihan listrik,2025-09-26
116,aplikasi sangat membantu laporan gangguan listrik,2025-09-26
117,pln mobile sangat mmbntu kami dlm melaporkan gangguan listrik,2025-09-26
118,pelayanan nya cepat dan ramah,2025-09-26
119,pln mobile sangat membantu kami,2025-09-26
120,ok sangat membantu dengan adanya Aplikasi PLN MOBILE,2025-09-26
121,Aplikasinya sangat memudahkan pelanggan ketika melakukan pelaporan gangguan,2025-09-26
122,Tambah daya lewat PLN Mobile lebih mudah.,2025-09-26
